group,assigned_split,source_split,variant,classes,source_image,included,output_image
Image_20260803154041151,train,train,base,3,train/images/Image_20260803154041151.jpg,True,split_v3/train/images/Image_20260803154041151.jpg
Image_20260803154050719,val,train,base,"2,3",train/images/Image_20260803154050719.jpg,True,split_v3/val/images/Image_20260803154050719.jpg
Image_20260803154100636,train,train,base,3,train/images/Image_20260803154100636.jpg,True,split_v3/train/images/Image_20260803154100636.jpg
Image_20260803154107368,train,train,base,3,train/images/Image_20260803154107368.jpg,True,split_v3/train/images/Image_20260803154107368.jpg
Image_20260803154118141,test,train,base,0,train/images/Image_20260803154118141.jpg,True,split_v3/test/images/Image_20260803154118141.jpg
Image_20260803154127042,train,train,base,0,train/images/Image_20260803154127042.jpg,True,split_v3/train/images/Image_20260803154127042.jpg
Image_20260803154136476,val,train,base,2,train/images/Image_20260803154136476.jpg,True,split_v3/val/images/Image_20260803154136476.jpg
Image_20260803154200921,val,train,base,2,train/images/Image_20260803154200921.jpg,True,split_v3/val/images/Image_20260803154200921.jpg
Image_20260803154209217,test,train,base,1,train/images/Image_20260803154209217.jpg,True,split_v3/test/images/Image_20260803154209217.jpg
Image_20260803154220118,train,train,base,"0,1",train/images/Image_20260803154220118.jpg,True,split_v3/train/images/Image_20260803154220118.jpg
Image_20260803154227454,test,train,base,1,train/images/Image_20260803154227454.jpg,True,split_v3/test/images/Image_20260803154227454.jpg
Image_20260803154237856,train,train,base,2,train/images/Image_20260803154237856.jpg,True,split_v3/train/images/Image_20260803154237856.jpg
Image_20260803154244607,train,train,base,1,train/images/Image_20260803154244607.jpg,True,split_v3/train/images/Image_20260803154244607.jpg
Image_20260803154253399,train,train,base,1,train/images/Image_20260803154253399.jpg,True,split_v3/train/images/Image_20260803154253399.jpg
Image_20260803154259372,test,train,base,1,train/images/Image_20260803154259372.jpg,True,split_v3/test/images/Image_20260803154259372.jpg
Image_20260803154315872,train,train,base,"0,2",train/images/Image_20260803154315872.jpg,True,split_v3/train/images/Image_20260803154315872.jpg
Image_20260803154326526,train,train,base,"0,2",train/images/Image_20260803154326526.jpg,True,split_v3/train/images/Image_20260803154326526.jpg
Image_20260803154336231,train,train,base,"0,1",train/images/Image_20260803154336231.jpg,True,split_v3/train/images/Image_20260803154336231.jpg
Image_20260803154441615,test,train,base,"0,2",train/images/Image_20260803154441615.jpg,True,split_v3/test/images/Image_20260803154441615.jpg
Image_20260803154452787,test,train,base,"1,3",train/images/Image_20260803154452787.jpg,True,split_v3/test/images/Image_20260803154452787.jpg
Image_20260803154459002,train,train,base,"2,3",train/images/Image_20260803154459002.jpg,True,split_v3/train/images/Image_20260803154459002.jpg
Image_20260803154510943,val,train,base,"0,2",train/images/Image_20260803154510943.jpg,True,split_v3/val/images/Image_20260803154510943.jpg
Image_20260803154517327,train,train,base,"0,1",train/images/Image_20260803154517327.jpg,True,split_v3/train/images/Image_20260803154517327.jpg
Image_20260803154523881,train,train,base,0,train/images/Image_20260803154523881.jpg,True,split_v3/train/images/Image_20260803154523881.jpg
Image_20260803154529961,train,train,base,1,train/images/Image_20260803154529961.jpg,True,split_v3/train/images/Image_20260803154529961.jpg
Image_20260803154536609,train,train,base,"2,3",train/images/Image_20260803154536609.jpg,True,split_v3/train/images/Image_20260803154536609.jpg
Image_20260803154541939,train,train,base,"0,1",train/images/Image_20260803154541939.jpg,True,split_v3/train/images/Image_20260803154541939.jpg
Image_20260803154548564,train,train,base,"1,3",train/images/Image_20260803154548564.jpg,True,split_v3/train/images/Image_20260803154548564.jpg
Image_20260803154619109,train,train,base,0,train/images/Image_20260803154619109.jpg,True,split_v3/train/images/Image_20260803154619109.jpg
Image_20260803154724919,train,train,base,"0,2",train/images/Image_20260803154724919.jpg,True,split_v3/train/images/Image_20260803154724919.jpg
Image_20260803154732114,train,train,base,0,train/images/Image_20260803154732114.jpg,True,split_v3/train/images/Image_20260803154732114.jpg
Image_20260803154739522,train,train,base,"0,2",train/images/Image_20260803154739522.jpg,True,split_v3/train/images/Image_20260803154739522.jpg
Image_20260803154744544,train,train,base,1,train/images/Image_20260803154744544.jpg,True,split_v3/train/images/Image_20260803154744544.jpg
Image_20260803154753179,train,train,base,0,train/images/Image_20260803154753179.jpg,True,split_v3/train/images/Image_20260803154753179.jpg
Image_20260803154806014,test,train,base,"0,1",train/images/Image_20260803154806014.jpg,True,split_v3/test/images/Image_20260803154806014.jpg
Image_20260803154812930,train,train,base,0,train/images/Image_20260803154812930.jpg,True,split_v3/train/images/Image_20260803154812930.jpg
Image_20260803154818955,val,train,base,0,train/images/Image_20260803154818955.jpg,True,split_v3/val/images/Image_20260803154818955.jpg
Image_20260803154826417,train,train,base,0,train/images/Image_20260803154826417.jpg,True,split_v3/train/images/Image_20260803154826417.jpg
Image_20260803154834356,train,train,base,0,train/images/Image_20260803154834356.jpg,True,split_v3/train/images/Image_20260803154834356.jpg
Image_20260803154841242,train,train,base,"0,1",train/images/Image_20260803154841242.jpg,True,split_v3/train/images/Image_20260803154841242.jpg
Image_20260803154854121,train,train,base,"0,2",train/images/Image_20260803154854121.jpg,True,split_v3/train/images/Image_20260803154854121.jpg
Image_20260803154859964,train,train,base,0,train/images/Image_20260803154859964.jpg,True,split_v3/train/images/Image_20260803154859964.jpg
Image_20260803154914310,train,train,base,"2,3",train/images/Image_20260803154914310.jpg,True,split_v3/train/images/Image_20260803154914310.jpg
Image_20260803154926345,train,train,base,"1,3",train/images/Image_20260803154926345.jpg,True,split_v3/train/images/Image_20260803154926345.jpg
Image_20260803154933230,train,train,base,1,train/images/Image_20260803154933230.jpg,True,split_v3/train/images/Image_20260803154933230.jpg
Image_20260803154940718,val,train,base,"1,3",train/images/Image_20260803154940718.jpg,True,split_v3/val/images/Image_20260803154940718.jpg
Image_20260803154955591,train,train,base,"1,3",train/images/Image_20260803154955591.jpg,True,split_v3/train/images/Image_20260803154955591.jpg
Image_20260803155003510,train,train,base,"1,3",train/images/Image_20260803155003510.jpg,True,split_v3/train/images/Image_20260803155003510.jpg
Image_20260803155012481,val,train,base,"0,1",train/images/Image_20260803155012481.jpg,True,split_v3/val/images/Image_20260803155012481.jpg
Image_20260803155017842,test,train,base,"2,3",train/images/Image_20260803155017842.jpg,True,split_v3/test/images/Image_20260803155017842.jpg
Image_20260803155026351,train,train,base,3,train/images/Image_20260803155026351.jpg,True,split_v3/train/images/Image_20260803155026351.jpg
Image_20260803155031850,val,train,base,0,train/images/Image_20260803155031850.jpg,True,split_v3/val/images/Image_20260803155031850.jpg
Image_20260803155040110,train,train,base,2,train/images/Image_20260803155040110.jpg,True,split_v3/train/images/Image_20260803155040110.jpg
Image_20260803155050198,train,train,base,3,train/images/Image_20260803155050198.jpg,True,split_v3/train/images/Image_20260803155050198.jpg
Image_20260803155057497,train,train,base,1,train/images/Image_20260803155057497.jpg,True,split_v3/train/images/Image_20260803155057497.jpg
Image_20260803155104062,train,train,base,3,train/images/Image_20260803155104062.jpg,True,split_v3/train/images/Image_20260803155104062.jpg
Image_20260803155110569,train,train,base,3,train/images/Image_20260803155110569.jpg,True,split_v3/train/images/Image_20260803155110569.jpg
