位置名,类型,X(mm),Y(mm),Z(mm),备注
HOME,零点,0.0,0.0,100.0,所有轴初始位置
WAIT_CAMERA,待料位,0.0,0.0,80.0,等待视觉检测
CAMERA_POSE,拍照位,0.0,0.0,30.0,视觉相机下方
PLACE_TEMP,临时放置位,50.0,30.0,50.0,临时位置（备用）
LIB_01_ROW_1,货架1列1层,80.0,40.0,-10.0,hole(0) 第1个
LIB_01_ROW_2,货架1列2层,80.0,80.0,-10.0,hole(0) 第2个
LIB_01_ROW_3,货架1列3层,80.0,120.0,-10.0,hole(0) 第3个
LIB_02_ROW_1,货架2列1层,110.0,40.0,-10.0,chip(1) 第1个
LIB_02_ROW_2,货架2列2层,110.0,80.0,-10.0,chip(1) 第2个
LIB_02_ROW_3,货架2列3层,110.0,120.0,-10.0,chip(1) 第3个
LIB_03_ROW_1,货架3列1层,140.0,40.0,-10.0,scratch(2) 第1个
LIB_03_ROW_2,货架3列2层,140.0,80.0,-10.0,scratch(2) 第2个
LIB_03_ROW_3,货架3列3层,140.0,120.0,-10.0,scratch(2) 第3个
LIB_04_ROW_1,货架4列1层,170.0,40.0,-10.0,stain(3) 第1个
LIB_04_ROW_2,货架4列2层,170.0,80.0,-10.0,stain(3) 第2个
LIB_04_ROW_3,货架4列3层,170.0,120.0,-10.0,stain(3) 第3个
